ID,Gender,Grade,Horoscope,Subject,IntExt,OptPest,ScreenTime,Sleep,PhysActive,HrsHomework,SpendTime1,,SpendTime2,Self1,Self2,Career,Superpower
42,male,5,Capricorn,Gym,Extravert,Don't Know,6,8,11,18,18,,sporty,strong,vet,controlling minds,
11,female,4,Leo,Gym,Don't Know,Optimist,1,10,5,0, reading ,,drawing,funny,athletic,swimmer,flying
69,male,4,Aries,Math,Introvert,Pessimist,1,10,70,21,Active,Sport,Sleeping,Intelligent,Athletic,Athlete,Fire
57,male,4,Cancer,History,Introvert,Optimist,1,8,82,8,activeitys,Sport,basket ball,generouse,kind,cop,invincable
89,female,4,Scorpio,Art,Introvert,Optimist,1,9,19,7,Art,,Work,Smart,Sweet,Doctor,Fly
66,female,6,Aries,Gym,Introvert,Optimist,3,10,15,3,Baking,,Shopping,Funny,Shy,Lawyer,Time Travel
43,male,5,Capricorn,Gym,Extravert,Pessimist,4,8,14,5,ball hockey,Sport,being myself,talkative,beyond not annoying,n/a,wishes
1,male,4,Scorpio,Math,Extravert,Optimist,1,7,10,10,baseball,Sport,relaxing,active,competitive,professional baseball player,sonic speed
44,male,5,Taurus,Gym,Extravert,Pessimist,1,9,12,1,baseball,Sport,sleeping,n/a,n/a,n/a,speed
176,male,6,Aries,Math,Extravert,Pessimist,1,9,22,7,basketball,Sport,video games,fun,cool,doctor,super speed
106,female,7,Cancer,Gym,Extravert,Optimist,4,7,10,0,Being active,Sport,talking,funny,confused,surgeon,Read minds
21,female,5,Cancer,Art,Introvert,Optimist,2,9,2,1,bike ,Sport,soccer,quite,pretty,vet,invisable
127,male,6,Aries,Gym,Introvert,Pessimist,6,8,12,4,Code,,Bike,Witty,Condesending,Computer Scientist,Cunjuring
83,female,4,Scorpio,Art,Don't Know,Don't Know,0,10,2,1,computer games,,friends,art,cats,idk,fly
45,female,5,Libra,Science,Don't Know,Optimist,3,8,7,2,crafting,,making things,creative,caring,scientist,wishes
130,male,6,Sagittarius,Math,Introvert,Don't Know,3,9,14,4,D&D,,Fortnite,Smart,Video Game Lover,Teacher,Manipulate the Laws of Phisycs
77,female,4,Cancer,Math,Extravert,Optimist,1,9,36,7,dance,Sole,sports,active,fun,idk,everything (little)
107,male,7,Gemini,History,Extravert,Optimist,2,8,15,2,Dancing,Sole,Hanging with friends,funny,outgoing,vet,physich
72,female,6,Leo,Science,Introvert,Optimist,2,9,7,1,Draw,Sole,Dog,Shy,Embarassed,Speech Therapist,Shape Shifting
81,female,4,Scorpio,Art,Don't Know,Pessimist,1,12,2,1,draw,Sole,crafts,funny,nice,pilot,fly
24,female,6,Taurus,Art,Introvert,Optimist,4,9,6,4,drawing,Sole,ranbowloom ,nice,happy,dessinger,invisible
121,female,8,Pisces,Art,Don't Know,Optimist,3,8,3,1,drawing ,Sole,games,calm,happy,animator,molecular manipulation
177,female,6,Virgo,Science,Extravert,Pessimist,8,7,1,1,eating,NA,video games,lazy,funky,horse rider,teleportation
166,male,6,Cancer,Gym,Extravert,Optimist,3,9,12,3,eating ,NA,play ps4,lazy ,energetic,NFL player,super strength
54,male,5,Scorpio,Gym,Extravert,Optimist,2,7,2,1,family,Social,helpful,greatful,awesome,inventer,speed
144,female,5,Sagittarius,Gym,Don't Know,Optimist,2,8,5,9,family,Social,reading,shy,active,Doctor,to know everything
98,female,5,Sagittarius,Science,Extravert,Pessimist,3,10,11,6,fortnite,NA,shoping,funny,rude,pediatrician,shape shift
119,male,8,Leo,Art,Extravert,Optimist,5,8,15,0,fortnite,NA,friends,the,goat,lawyer,mind reading
65,female,6,Leo,Gym,Introvert,Optimist,1,8,10,3,Friends,Social,Drawing,Weird,Active,Vet,Read Minds
114,female,8,Libra,Math,Extravert,Optimist,18,6,0,4,friends,Social,family,sassy,happy,lawyer,making money out of thin air
116,female,8,Aquarius,Gym,Extravert,Don't Know,5,8,10,0,friends,Social,netflix,athletic,thiccc,proffesional,flight
118,female,8,Aries,Art,Extravert,Don't Know,4,8,4,1,friends,Social,TV,smart,blonde,lawyer,time travel
120,female,8,Taurus,Gym,Extravert,Optimist,5,8,8,0,friends,Social,netflix,smart,nice,actress,control over time
141,male,8,Libra,Art,Extravert,Pessimist,3,8,3,7,friends,Social,Netflix,small,blond,actor/model,reality manipulation
143,male,8,Aquarius,Art,Extravert,Optimist,4,8,18,7,friends,Social,music,laid back,setericle,music industry,speed
167,male,6,Libra,Gym,Extravert,Optimist,5,10,15,2,friends,Social,sports,active ,tall,hockey player,good at everything
70,male,4,Sagittarius,Math,Extravert,Pessimist,3,8,50,0,Games,Gaming,Eating ,Annoying,Awesome,Athlete,Speak Any Language
122,male,8,Gemini,Science,Introvert,Don't Know,5,7,6,0,games,Gaming,eating,overly energetic,impatient,neurosurgeon,flight 
131,male,6,Taurus,Math,Extravert,Optimist,4,7,24,5,Go to the Park,Sport,Fortnite,Smart,Extreverted,Investment Banker,Infinite everything
109,female,7,Sagittarius,Math,Introvert,Optimist,0.5,9,14,12,going to the park,Sport,staying home,Fashionable,awesome,surgeon,Fire powers
88,male,4,Virgo,Art,Extravert,Optimist,2,10,20,7,Guild,NA,Play,Gamer,Sporty,Doctor,invisibility
99,female,5,Libra,Math,Don't Know,Pessimist,3,9,8,6,gymnastics,Sport,youtube,funny,athletic,engineer,phycic
161,female,5,Gemini,Gym,Extravert,Don't Know,2,8,16,6,gymnastics,Sport,talking,extraverted,sassy,lawyer,mind bending
175,female,4,Leo,Science,Don't Know,Don't Know,1,10,9,2,gymnastics,Sport,reading,indecisive,active,gymnast,flying
71,female,6,Cancer,Gym,Extravert,Optimist,1,9,14,1,Hockey,Sport,Friends,Athletic,Amazing,Lawyer,Read Minds
145,female,4,Pisces,Gym,Extravert,Don't Know,1,10,7,0,hockey,Sport,soccer,active,sporty,doctor,fly
147,female,4,Cancer,Gym,Extravert,Optimist,2,10,7,0,hockey,Sport,video games,,weird,cook,all powers
17,male,8,Leo,Science,Introvert,Optimist,8,7,2,0,house,Sole,idk,idk,idk,scientist,invisibility
104,female,7,Leo,Art,Don't Know,Optimist,1,9,2,0.5,IDK,NA,IDK,Human,Person,Nerosurgeon,Fly
137,male,8,Leo,Art,Extravert,Pessimist,3,8,20,2,instagram,Multimedia,sleeping,petty,basic,fashion designer,teleport
32,female,8,Gemini,Science,Don't Know,Don't Know,10,5,5,20,netflix,Multimedia,texting talking,moody,intense,doctor,change probability
